game_date,game_id,home_team,away_team,lotte_home_away,opponent,home_score,away_score,lotte_score,opponent_score,result,series_id,extra_innings,winning_rbi_player,winning_rbi_inning,winning_rbi_detail,home_runs,key_hitters,key_pitchers,review_raw
2026-03-12,20260312KTLT02026,LT,KT,H,KT,4,3,4,3,W,0,,,,,,,,
2026-03-13,20260313KTLT02026,LT,KT,H,KT,6,6,6,6,D,0,,,,,,,,
2026-03-14,20260314LGLT02026,LT,LG,H,LG,5,3,5,3,W,0,,,,,,,,
2026-03-15,20260315LGLT02026,LT,LG,H,LG,7,4,7,4,W,0,,,,,,,,
2026-03-16,20260316WOLT02026,LT,WO,H,WO,12,1,12,1,W,0,,,,,,,,
2026-03-17,20260317WOLT02026,LT,WO,H,WO,4,4,4,4,D,0,,,,,,,,
2026-03-19,20260319OBLT02026,LT,OB,H,OB,10,3,10,3,W,0,,,,,,,,
2026-03-20,20260320OBLT02026,LT,OB,H,OB,1,4,1,4,L,0,,,,,,,,
2026-03-21,20260321HHLT02026,LT,HH,H,HH,12,6,12,6,W,0,,,,,,,,
2026-03-22,20260322HHLT02026,LT,HH,H,HH,10,6,10,6,W,0,,,,,,,,
2026-03-23,20260323LTSK02026,SK,LT,A,SK,2,5,5,2,W,0,,,,,,,,
2026-03-24,20260324LTSK02026,SK,LT,A,SK,6,3,3,6,L,0,,,,,,,,
2026-03-28,20260328LTSS02026,SS,LT,A,SS,3,6,6,3,W,0,,윤동희,1,1회 1사 1루서 우월 홈런,윤동희1호;레이예스1호;전준우1호,윤동희(롯데);전민재(롯데);전병우(삼성),로드리게스(롯데);정철원(롯데);박정민(롯데),결승타:윤동희(1회 1사 1루서 우월 홈런)|홈런:윤동희1호(1회2점 후라도) 레이예스1호(7회2점 육선엽) 전준우1호(8회1점 임기영)|2루타:노진혁(4회) 윤동희(5회) 김성윤(9회) 디아즈(9회)|포일:유강남(8회)|폭투:육선엽(7회)
2026-03-29,20260329LTSS02026,SS,LT,A,SS,2,6,6,2,W,0,,손호영,4,4회 1사서 우중월 홈런,손호영1호;손호영2호;노진혁1호;레이예스2호,레이예스(롯데);류지혁(삼성);이재현(삼성),비슬리(롯데);최원태(삼성);쿄야마(롯데),결승타:손호영(4회 1사서 우중월 홈런)|홈런:손호영1호2호(4회1점 7회1점 최원태 배찬승) 노진혁1호(5회1점 최원태) 레이예스2호(7회3점 배찬승)|2루타:한태양(5회) 류지혁(7회) 김지찬(7회) 박세혁(9회)|실책:노진혁(5회)|도루:류지혁(5회) 황성빈(9회)|도루자:김성윤(1회) 윤동희(4회)|병살타:윤동희(1회) 유강남(2회) 손호영(6회) 최형우(6회)
2026-03-31,20260331LTNC02026,NC,LT,A,NC,9,2,2,9,L,0,,김휘집,3,"3회 2사 2,3루서 중전 안타",,노진혁(롯데);김형준(NC);김휘집(NC),토다(NC);이준혁(NC);김영규(NC),"결승타:김휘집(3회 2사 2,3루서 중전 안타)|2루타:전준우(2회) 노진혁2(2 6회) 박건우(3회) 서호철(6회)|실책:전민재(3회) 윤성빈(6회) 김한별(9회)|도루:김휘집(3회) 허윤(7회)|도루자:박민우(5회)|병살타:전민재(2회)|폭투:쿄야마(6회) 박준우2(7회) 이민석2(8회)"
2026-04-01,20260401LTNC02026,NC,LT,A,NC,5,4,4,5,L,0,,김휘집,9,9회 1사 만루서 밀어내기 4구,윤동희2호;박민우1호;레이예스3호;신재인1호,박민우(NC);신재인(NC);김휘집(NC),박정민(롯데);류진욱(NC);신민혁(NC),결승타:김휘집(9회 1사 만루서 밀어내기 4구)|홈런:윤동희2호(4회1점 신민혁) 박민우1호(5회2점 나균안) 레이예스3호(7회1점 임지민) 신재인1호(8회2점 정철원)|2루타:김휘집(6회) 박민우(9회)|실책:김주원(7회)|주루사:이우성(3회) 전민재(5회) 한태양(6회)|폭투:김원중(9회)
2026-04-02,20260402LTNC02026,NC,LT,A,NC,8,4,4,8,L,0,,박건우,5,"5회 2사 1,3루서 우익수 2루타",노진혁2호,박건우(NC);노진혁(롯데);박민우(NC),김진욱(롯데);배재환(NC);원종해(NC),"결승타:박건우(5회 2사 1,3루서 우익수 2루타)|홈런:노진혁2호(5회1점 신영우)|2루타:박건우(5회) 한석현(7회) 노진혁(8회)|도루:박민우(3회) 허윤(6회) 최정원(8회)|도루자:황성빈(7회) 최정원(8회)|병살타:한동희(4회)|폭투:버하겐(2회) 신영우(5회) 김강현(7회)"
2026-04-03,20260403SKLT02026,LT,SK,H,SK,2,17,2,17,L,0,,최정,1,1회 1사 3루서 유격수 땅볼,최지훈2호;에레디아3호;고명준3호,박성한(SSG);최지훈(SSG);고명준(SSG),화이트(SSG),결승타:최정(1회 1사 3루서 유격수 땅볼)|홈런:최지훈2호(3회2점 로드리게스) 에레디아3호(4회1점 로드리게스) 고명준3호(6회1점 이민석)|2루타:박성한2(1 5회) 최지훈(2회) 최정2(3 5회) 노진혁(6회) 한동희(8회) 홍대인(9회) 오태곤(9회)|실책:박성한(7회) 조형우(9회)|도루:안상현(2회)|병살타:에레디아(2회) 한유섬(3회) 레이예스(5회)|폭투:로드리게스(2회) 화이트2(3 4회) 이민석(6회) 윤성빈(9회) 박시후(9회)
2026-04-04,20260404SKLT02026,LT,SK,H,SK,6,7,6,7,L,0,,에레디아,7,7회 2사 3루서 좌전 안타,유강남1호;노진혁3호,한동희(롯데);고명준(SSG);황성빈(롯데),조병현(SSG);노경은(SSG);이로운(SSG),결승타:에레디아(7회 2사 3루서 좌전 안타)|홈런:유강남1호(2회1점 김건우) 노진혁3호(3회2점 전영준)|2루타:박성한(1회) 에레디아(4회) 고명준(4회) 한동희(7회)|도루:박성한(1회) 한태양(6회) 황성빈(9회)|병살타:윤동희(1회)|폭투:쿄야마(6회) 노경은(6회)
2026-04-05,20260405SKLT02026,LT,SK,H,SK,3,4,3,4,L,0,,고명준,9,"9회 1사 1,3루서 중전 안타",윤동희3호,최정(SSG);정준재(SSG);한유섬(SSG),조병현(SSG);김민(SSG);정철원(롯데),"결승타:고명준(9회 1사 1,3루서 중전 안타)|홈런:윤동희3호(3회2점 베니지아노)|2루타:레이예스(3회) 한태양(4회) 황성빈(4회) 최정(5회) 노진혁(8회)|실책:전민재(1회) 박세웅(3회) 박정민(6회)|도루:최정(3회)|도루자:안상현(6회)|주루사:한유섬(5회) 장두성(8회) 안상현(8회)|병살타:노진혁(5회)|폭투:정철원(8회) 최준용2(9회)"
2026-04-07,20260407KTLT02026,LT,KT,H,KT,3,7,3,7,L,0,,장성우,3,"3회 1사 2,3루서 유격수 땅볼",,안현민(KT);노진혁(롯데);장성우(KT),고영표(KT);김민수(KT);스기모토(KT),"결승타:장성우(3회 1사 2,3루서 유격수 땅볼)|2루타:윤동희(6회) 오윤석2(7 9회) 장성우(9회) 손호영(9회)|실책:한태양(3회) 최원준(4회) 이강민(8회)|도루:황성빈(1회) 안현민(3회)|도루자:전준우(2회)|주루사:안현민(3회) 노진혁(4회)|폭투:최이준(8회)"
2026-04-08,20260408KTLT02026,LT,KT,H,KT,6,1,6,1,W,0,,손성빈,4,4회 1사 3루서 우익수 희생플라이,힐리어드3호;김민성1호,손성빈(롯데);레이예스(롯데);힐리어드(KT),김진욱(롯데);주권(KT);최준용(롯데),결승타:손성빈(4회 1사 3루서 우익수 희생플라이)|홈런:힐리어드3호(2회1점 김진욱) 김민성1호(5회2점 손동현)|2루타:손호영(4회) 류현인(5회)|실책:류현인(2회) 이강민(4회)|도루:한동희(2회) 황성빈(4회) 전민재(5회) 레이예스(8회)|주루사:레이예스(8회)|병살타:장성우(6회) 윤동희(6회)
2026-04-10,20260410LTWO02026,WO,LT,A,WO,1,3,3,1,W,0,,노진혁,1,1회 1사 3루서 중전 안타,최주환1호;레이예스4호,황성빈(롯데);레이예스(롯데);박주홍(키움),로드리게스(롯데);최준용(롯데);박정훈(키움),결승타:노진혁(1회 1사 3루서 중전 안타)|홈런:최주환1호(4회1점 로드리게스) 레이예스4호(5회1점 알칸타라)|3루타:황성빈(1회)|2루타:이주형(1회)|실책:최주환(2회)|도루자:이호준(9회)|주루사:전민재(4회) 손호영(8회)|병살타:전준우(1회) 김건희(7회)|폭투:로드리게스(2회) 알칸타라(4회)
2026-04-11,20260411LTWO02026,WO,LT,A,WO,1,3,3,1,W,0,,한동희,10,"10회 1사 1,3루서 3루수 땅볼",,장두성(롯데);레이예스(롯데);박승욱(롯데),와일스(키움);비슬리(롯데);박정민(롯데),"결승타:한동희(10회 1사 1,3루서 3루수 땅볼)|2루타:레이예스(10회)|실책:어준서(3회)|도루:브룩스(1회) 한태양(4회)|주루사:브룩스(6회)"
2026-04-12,20260412LTWO02026,WO,LT,A,WO,2,0,0,2,L,0,,이주형,1,1회 무사서 우월 홈런,이주형1호,이주형(키움);안치홍(키움);노진혁(롯데),배동현(키움);김재웅(키움);박세웅(롯데),결승타:이주형(1회 무사서 우월 홈런)|홈런:이주형1호(1회1점 박세웅)|3루타:황성빈(8회)|2루타:안치홍(3회) 손성빈(5회) 노진혁(9회)|병살타:한동희(6회)|폭투:정철원(8회)
2026-04-14,20260414LTLG02026,LG,LT,A,LG,2,1,1,2,L,0,,오스틴,8,8회 무사서 좌월 홈런,오스틴5호,오스틴(LG);노진혁(롯데);문보경(LG),송승기(LG);유영찬(LG);나균안(롯데),결승타:오스틴(8회 무사서 좌월 홈런)|홈런:오스틴5호(8회1점 박정민)|2루타:오스틴(3회)|실책:손성빈(4회)|도루:박해민(4회)|도루자:신민재(5회)|주루사:박해민(4회)|병살타:손성빈(7회)|폭투:나균안(1회) 송승기(6회)
