id,title,description_snippet,source_name,published_at,query_player,primary_label,secondary_labels,confidence_score,confidence_note,detected_players,is_lotte_related,event_summary,key_players,lotte_stance,player_stance,game_ref,game_context
1,"'천만다행' 아찔 사구 맞은 박수종 ""몸 상태 OK→기분 탓인지 조금 어지...",한편 키움은 롯데 선발 김진욱을 맞아 브룩스(지명타자)-안치홍(2루수)-김건희(포수)-임지열(좌익수)-이형종(우익수)-김지석(3루수)-최주환(1루수)-오선진(좌익수)-박주홍(중견수) 순으로 선발 라인업을 꾸렸다. 선,www.starnewskorea.com,2026-04-28T17:29:00,,INJURY_ROSTER,,0.9,,박수종;김진욱,True,박수종이 사구에 맞았지만 몸 상태는 양호하다.,박수종,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
2,서로를 넘지 못하면 일어서지 못한다…9·10위 격차 벌어질 분수령,이날 선발로는 롯데 김진욱과 키움 라울 알칸타라가 예고됐다. 김진욱은 올 시즌 2경기 연속 퀄리티 스타트를 기록하며 상승세를 이어갔다. 8일 KT 위즈전에서는 8이닝 1실점 3피안타(1피홈런) 1볼넷 6탈삼진으로 도,www.mhnse.com,2026-04-28T17:05:00,,MATCH_RELATED,PERFORMANCE_ANALYSIS,0.9,,김진욱,True,김진욱이 상승세를 이어가며 선발로 나선다.,김진욱,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
3,'고금리' 차환에 허리휘는 비우량 기업들...이자비용 더 오를까[fn마켓워...,"메가박스중앙은 롯데컬처웍스와의 합병으로 자금난을 타개할 것으로 보였으나 이 합병마저 지지부진한... 김진욱 씨티 이코노미스트는 최근 보고서에서 ""기본 시나리오에서 한은이 올해 7월과 10월에 각각...",www.fnnews.com,2026-04-28T16:53:00,,ETC,,0.8,기사 내용이 롯데 자이언츠와 직접적인 관련이 없음,김진욱,True,롯데와 키움의 경기가 진행 중이다.,,neutral,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
4,"김태형 롯데 감독 ""원래 옥수수 수염차가 이렇게 쓴가?"" [부산 현장]",롯데 선발진은 막강하다. 외국인 원투펀치 엘빈 로드리게스와 제레미 비슬리를 필두로 국내 선발진 김진욱 나균안 박세웅이 제 몫을 잘해주고 있다. 선발 평균자책점이 3.45로 리그 1위다. 그러나 불펜 평균자책점 6.4,www.sportschosun.com,2026-04-28T16:39:00,,MATCH_RELATED,PERFORMANCE_ANALYSIS;INTERVIEW,0.9,,김진욱,True,롯데의 선발진이 리그 1위를 기록하고 있다.,김진욱,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
5,"유강남 선발 복귀, 롯데 9위 키움과 끝장 승부",롯데 자이언츠 유강남이 21일 만에 선발로 포수 마스크를 쓴다. 롯데는 28일 부산 사직야구장에서 열리는... 선발투수로는 김진욱이 마운드에 오른다. 김진욱은 올 시즌 등판한 4경기에서 2승 1패 평균자책점 2.59,www.busan.com,2026-04-28T16:35:00,,INJURY_ROSTER,MATCH_RELATED,0.9,,유강남;김진욱,True,유강남이 21일 만에 선발로 복귀한다.,유강남,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
6,"유강남, 16G 만에 시작부터 포수 출전...한태양은 선발 라인업 제외 [IS ...","롯데는 좌완 김진욱을 선발 투수로 내세웠다. 그는 올 시즌 4경기에 등판해 2승 1패, 평균자책점 2.59를 기록했다. 두 차례 팀 연패 상황에서 승리를 이끄는 호투를 보여줬다. 부산=",isplus.com,2026-04-28T16:23:00,,MATCH_RELATED,,0.9,,김진욱,True,김진욱이 선발로 나서며 좋은 성적을 이어간다.,김진욱,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
7,[포토] 박세웅 '컨디션이 살아나야 합니다',28일 부산 사직야구장에서 열리는 롯데와 키움의 경기. 동료들과 함께 몸을 풀고 있는 롯데 박세웅. 부산=송정헌 기자 /2026.04.28/,www.sportschosun.com,2026-04-28T16:14:00,,INTERVIEW,,0.9,,박세웅,True,박세웅이 몸을 풀고 있는 모습이 포착되었다.,박세웅,neutral,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
8,"[사진] 김태형 감독, 타격 지도 중","2026 신한 SOL KBO 리그 롯데 자이언츠와 키움 히어로즈의 경기가 열린다. 홈팀 롯데는 김진욱이, 방문팀 키움은 알칸타라가 선발 출전한다. 롯데 자이언츠 김태형 감독이 타격 지도를 하고 있다. 2026.04.",www.osen.co.kr,2026-04-28T16:06:00,,MATCH_RELATED,INTERVIEW,0.9,,김진욱,True,김태형 감독이 타격 지도를 하고 있다.,,neutral,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
9,[사진] 한태양에게 타격 지도하는 김태형 감독,"2026 신한 SOL KBO 리그 롯데 자이언츠와 키움 히어로즈의 경기가 열린다. 홈팀 롯데는 김진욱이, 방문팀 키움은 알칸타라가 선발 출전한다. 롯데 자이언츠 김태형 감독이 한태양에게 타격 지도를 하고 있다. 20",www.osen.co.kr,2026-04-28T16:06:00,,INTERVIEW,,0.9,,김진욱;한태양,True,김태형 감독이 한태양에게 타격 지도를 하고 있다.,한태양,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
10,[사진] 훈련 지켜보는 김태형 감독,"2026 신한 SOL KBO 리그 롯데 자이언츠와 키움 히어로즈의 경기가 열린다. 홈팀 롯데는 김진욱이, 방문팀 키움은 알칸타라가 선발 출전한다. 롯데 자이언츠 김태형 감독이 선수들의 훈련을 지켜보고 있다. 2026",www.osen.co.kr,2026-04-28T16:06:00,,INTERVIEW,,0.9,,김진욱,True,김태형 감독이 선수들의 훈련을 지켜보고 있다.,,positive,,True,"롯데 vs 키움 (홈) 5-4 승 | 결승타: 이호준(6회) | 타자 키플레이어: 전민재(롯데), 박주홍(키움), 레이예스(롯데) | 투수 키플레이어: 김원중(롯데), 현도훈(롯데), 박정민(롯데)"
